I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound
80,16,3,0,0,0,1.22006e+06,1.41138e+06,6442,46571,1.26516e+06,1.69882e+06,42292,4.45735e+09,1.65564e+06,1.73738e+06,0.048115,21625
80,16,4,0,0,0,1.2273e+06,1.35326e+06,3688,32666,1.31581e+06,2.11492e+06,42458,4.10679e+09,2.10208e+06,2.13724e+06,0.0166266,18791
80,16,5,0,0,0,1.14266e+06,1.27441e+06,6999,43487,1.40162e+06,2.86255e+06,45417,4.37952e+09,2.86020e+06,2.88343e+06,0.008112,18042
100,4,1,0,0,0,529395,557986,3210,7639,699525,961831,19000,36000,961831,962853,0.00106256,958
100,4,2,0,0,0,435252,565125,2303,4163,462888,615081,17750,37250,584651,615081,0.0494732,833
100,4,3,0,0,0,505378,521695,5238,12548,720136,1.03607e+06,17709,33709,1.03607e+06,1.03616e+06,8.68665e-05,833
100,4,4,0,0,0,483011,529092,4165,7971,499671,558696,17666,31500,558696,560976,0.00408093,750
100,4,5,0,0,0,497432,521822,2632,6755,526384,595602,17291,27166,595602,596127,0.000881461,750
100,6,1,0,0,0,610922,734699,2454,7049,785156,1.21594e+06,27042,154917,1.21594e+06,1.23518e+06,0.0158248,1500
100,6,2,0,0,0,443809,572901,1644,4553,545737,850585,24792,123041,850585,855187,0.00541039,1625
100,6,3,0,0,0,574651,642010,2692,11891,617723,828016,24833,118208,828016,832266,0.00513275,1209
100,6,4,0,0,0,593714,719892,2880,9079,671474,943225,25875,143709,932861,965025,0.0341,1042
100,6,5,0,0,0,704316,734487,2621,9699,837987,1.22766e+06,24334,125750,1.22766e+06,1.22914e+06,0.00120392,1375
100,8,1,0,0,0,658301,733680,4309,19507,778953,1.27207e+06,30083,785250,1.27207e+06,1.27988e+06,0.00613804,2083
100,8,2,0,0,0,774107,821010,3465,17929,819152,1.05169e+06,29542,601667,1.05169e+06,1.05409e+06,0.00228014,1833
100,8,3,0,0,0,767974,813166,3343,17534,788032,915185,29416,603083,915185,918370,0.00348017,1958
100,8,4,0,0,0,837697,898286,3837,19108,853045,970394,29791,786833,970394,974718,0.00445592,1917
100,8,5,0,0,0,716148,893102,2717,10075,851998,1.36713e+06,28583,846458,1.35203e+06,1.39685e+06,0.0327877,1583
100,10,1,0,0,0,1.09021e+06,1.11809e+06,4419,26388,1.09904e+06,1.17e+06,35542,4.68338e+06,1.17e+06,1.17087e+06,0.000746156,3000
100,10,2,0,0,0,1.07259e+06,1.12435e+06,4128,25196,1.25422e+06,2.2272e+06,35250,4.79538e+06,2.2272e+06,2.23298e+06,0.00259429,3167
100,10,3,0,0,0,915076,1.02583e+06,5062,23425,1.1783e+06,2.23232e+06,35709,5.63446e+06,2.22891e+06,2.24393e+06,0.00672755,3375
100,10,4,0,0,0,872723,950123,4173,23924,918626,1.19689e+06,36000,6.07821e+06,1.19689e+06,1.21329e+06,0.0137031,3209
100,10,5,0,0,0,924087,1.0288e+06,5505,27824,1.14429e+06,2.12491e+06,46000,5.86617e+06,2.12123e+06,2.14176e+06,0.00966159,3750
100,12,1,0,0,0,1.01394e+06,1.09691e+06,6038,34268,1.41849e+06,3.38312e+06,44958,4.72937e+07,3.38312e+06,3.39287e+06,0.00288255,6833
100,12,2,0,0,0,1.07117e+06,1.14172e+06,5638,34785,1.47147e+06,3.59875e+06,43208,4.53332e+07,3.59875e+06,3.61145e+06,0.00352817,5625
100,12,3,0,0,0,1.13607e+06,1.29001e+06,4918,35730,1.15082e+06,1.37836e+06,39625,4.16392e+07,1.34554e+06,1.3972e+06,0.0374799,4792
100,12,4,0,0,0,900706,1.14148e+06,3714,25442,974986,1.62169e+06,39083,4.77079e+07,1.62169e+06,1.65032e+06,0.0176588,5750
100,12,5,0,0,0,1.19034e+06,1.31907e+06,6376,40012,1.24135e+06,1.60883e+06,42167,5.20438e+07,1.60883e+06,1.63916e+06,0.0188534,5750
100,14,1,0,0,0,1.43468e+06,1.53706e+06,6064,46490,1.43468e+06,1.53706e+06,45542,1.66379e+08,1.52e+06,1.53706e+06,0.0110997,11500
100,14,2,0,0,0,1.35980e+06,1.37455e+06,3441,32462,1.42518e+06,1.99092e+06,48792,3.003e+08,1.99092e+06,1.99133e+06,0.000204428,10625
100,14,3,0,0,0,1.66876e+06,1.68735e+06,7316,54077,1.75656e+06,2.33588e+06,47042,4.00142e+08,2.33588e+06,2.33627e+06,0.000166532,10625
100,14,4,0,0,0,1.21803e+06,1.50074e+06,6620,36448,1.34381e+06,2.15275e+06,46291,4.51286e+08,2.13464e+06,2.19325e+06,0.0272289,11792
100,14,5,0,0,0,1.30034e+06,1.38392e+06,5609,39779,1.5864e+06,3.39219e+06,57167,4.30114e+08,3.39219e+06,3.41265e+06,0.00603239,9042
100,16,1,0,0,0,1.58643e+06,1.67062e+06,7445,54817,1.80978e+06,3.29918e+06,51584,4.30563e+09,3.29081e+06,3.31513e+06,0.00737031,20333
100,16,2,0,0,0,1.52535e+06,1.60676e+06,6324,55064,1.74036e+06,3.46872e+06,52500,4.17384e+09,3.46872e+06,3.47894e+06,0.00294633,21916
100,16,3,0,0,0,1.99113e+06,1.9923e+06,9598,66139,2.65339e+06,6.5559e+06,56334,4.19582e+09,6.5559e+06,6.5559e+06,0,18416
100,16,4,0,0,0,1.84281e+06,1.9166e+06,11480,68414,2.33645e+06,4.85026e+06,51542,4.42855e+09,4.85026e+06,4.8584e+06,0.00167888,18417
100,16,5,0,0,0,1.39776e+06,1.56934e+06,7537,52192,1.86505e+06,4.75738e+06,63750,4.48289e+09,4.75738e+06,4.80524e+06,0.0100618,19250
