I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
20,6,4,0,0,0,0,0,0,2572,0,0,0,0,7.15434e+07
20,6,5,0,0,0,0,0,0,1322,0,0,0,0,9.1847e+07
40,6,1,0,0,0,0,0,0,4145,0,0,0,0,6.8157e+07
40,6,2,0,0,0,0,0,0,5461,0,0,0,0,7.95138e+07
40,6,3,0,0,0,0,0,0,2705,0,0,0,0,1.42692e+07
40,6,4,0,0,0,0,0,0,2270,0,0,0,0,6.96703e+07
40,6,5,0,0,0,0,0,0,4743,0,0,0,0,8.78128e+07
60,6,1,0,0,0,0,0,0,6715,0,0,0,0,1.71315e+08
60,6,2,0,0,0,0,0,0,9424,0,0,0,0,8.61494e+07
60,6,3,0,0,0,0,0,0,1747,0,0,0,0,1.82598e+07
60,6,4,0,0,0,0,0,0,4857,0,0,0,0,7.58012e+07
60,6,5,0,0,0,0,0,0,5580,0,0,0,0,6.6019e+07
80,6,1,0,0,0,0,0,0,13549,0,0,0,0,5.40311e+07
80,6,2,0,0,0,0,0,0,9017,0,0,0,0,8.69418e+07
80,6,3,0,0,0,0,0,0,7516,0,0,0,0,3.18235e+07
80,6,4,0,0,0,0,0,0,9660,0,0,0,0,1.07966e+08
80,6,5,0,0,0,0,0,0,14758,0,0,0,0,5.23987e+07
100,6,1,0,0,0,0,0,0,7049,0,0,0,0,2.73134e+07
100,6,2,0,0,0,0,0,0,4553,0,0,0,0,2.69887e+07
100,6,3,0,0,0,0,0,0,11891,0,0,0,0,9.6284e+07
100,6,4,0,0,0,0,0,0,9079,0,0,0,0,6.16172e+07
100,6,5,0,0,0,0,0,0,9699,0,0,0,0,8.66237e+07
20,8,1,0,0,0,0,0,0,3939,0,0,0,0,1.73664e+10
20,8,2,0,0,0,0,0,0,3923,0,0,0,0,1.6744e+10
20,8,3,0,0,0,0,0,0,4850,0,0,0,0,7.61207e+09
20,8,4,0,0,0,0,0,0,2047,0,0,0,0,4.39008e+10
20,8,5,0,0,0,0,0,0,3611,0,0,0,0,9.676e+09
40,8,1,0,0,0,0,0,0,7417,0,0,0,0,1.57516e+10
40,8,2,0,0,0,0,0,0,11248,0,0,0,0,4.53315e+09
40,8,3,0,0,0,0,0,0,11293,0,0,0,0,5.12471e+09
40,8,4,0,0,0,0,0,0,5336,0,0,0,0,1.11156e+10
40,8,5,0,0,0,0,0,0,10520,0,0,0,0,4.73592e+09
60,8,1,0,0,0,0,0,0,8308,0,0,0,0,5.99566e+09
60,8,2,0,0,0,0,0,0,12991,0,0,0,0,4.60673e+10
60,8,3,0,0,0,0,0,0,13691,0,0,0,0,7.97186e+09
60,8,4,0,0,0,0,0,0,16701,0,0,0,0,2.66668e+09
60,8,5,0,0,0,0,0,0,13304,0,0,0,0,2.34873e+09
80,8,1,0,0,0,0,0,0,4817,0,0,0,0,4.63199e+08
80,8,2,0,0,0,0,0,0,8161,0,0,0,0,7.12806e+10
80,8,3,0,0,0,0,0,0,13006,0,0,0,0,3.34529e+10
80,8,4,0,0,0,0,0,0,10295,0,0,0,0,1.14262e+10
80,8,5,0,0,0,0,0,0,18608,0,0,0,0,7.57158e+09
100,8,1,0,0,0,0,0,0,19507,0,0,0,0,2.44475e+10
100,8,2,0,0,0,0,0,0,17929,0,0,0,0,6.85532e+10
100,8,3,0,0,0,0,0,0,17534,0,0,0,0,9.50649e+10
100,8,4,0,0,0,0,0,0,19108,0,0,0,0,3.39277e+10
100,8,5,0,0,0,0,0,0,10075,0,0,0,0,1.28603e+09
20,10,1,0,0,0,0,0,0,-5921,0,0,0,0,3.60341e+12
20,10,2,0,0,0,0,0,0,-6041,0,0,0,0,3.60004e+12
20,10,3,0,0,0,0,0,0,-6305,0,0,0,0,3.60104e+12
