I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,10,25,4,192267,578,206717,192267,196677,578,1443,206717,232423,6666,30666,232423,232752,0.00141552,833,196348,1443,1.021225691,2.496539792
20,4,10,25,5,202920,578,217370,202920,207892,578,1443,217370,243396,6458,31667,243396,243967,0.00234597,625,207321,1443,1.02168835,2.496539792
20,4,10,25,6,211151,578,225601,211151,215875,578,1443,225601,251455,6417,34208,251455,251950,0.00196854,1125,215380,1443,1.020028321,2.496539792
20,4,10,25,7,196815,578,211265,196815,202342,578,1443,211265,238293,7125,25750,238293,238417,0.000520368,833,202218,1443,1.027452176,2.496539792
20,4,10,25,8,199995,578,214445,199995,205325,578,1443,214445,240975,5833,33916,240975,241400,0.00176367,958,204900,1443,1.024525613,2.496539792
20,4,10,25,9,190054,578,204504,190054,195167,578,1443,204504,230931,5209,25084,230931,231242,0.00134672,833,194856,1443,1.025266503,2.496539792
20,4,10,25,10,195007,578,209457,195007,200677,578,1443,209457,236484,7250,33125,236484,236752,0.00113327,792,200409,1443,1.02770157,2.496539792
20,4,10,30,1,198280,578,215620,198280,203741,578,1443,215620,246821,6125,28875,246821,247031,0.000850819,625,203531,1443,1.026482752,2.496539792
20,4,10,30,2,188146,578,205486,188146,193737,578,1443,205486,236848,7041,27416,236848,237027,0.000755759,792,193558,1443,1.028764895,2.496539792
20,4,10,30,3,193346,578,210686,193346,198444,578,1443,210686,241009,6500,31250,241009,241734,0.00300819,1000,197719,1443,1.022617484,2.496539792
20,4,10,30,4,205076,578,222416,205076,209563,578,1443,222416,252498,6875,26667,252498,252853,0.00140595,667,209208,1443,1.020148628,2.496539792
20,4,10,30,5,203648,578,220988,203648,208738,578,1443,220988,251137,6750,29709,251137,252028,0.00354786,958,207847,1443,1.020618911,2.496539792
20,4,10,30,6,192312,578,209652,192312,197685,578,1443,209652,240381,6750,28833,240381,240975,0.00247108,834,197091,1443,1.024850243,2.496539792
20,4,10,30,7,196859,578,214199,196859,201352,578,1443,214199,244212,6834,31458,244212,244642,0.00176077,666,200922,1443,1.020639138,2.496539792
20,4,10,30,8,186541,578,203881,186541,190553,578,1443,203881,233699,6792,34375,233699,233843,0.000616177,834,190409,1443,1.020735388,2.496539792
