I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst,time_best,time_worst
60,10,1,648030,4457,861966,648053,651072,4457,0,861966,-1.66E+06,0.119042,5.34E+07,3.60E+12,5.34E-02,3.60E+03
60,10,2,534812,3065,593047,534812,537596,3065,0,593047,-877565,0.0937697,4.80E+07,3.60E+12,4.80E-02,3.60E+03
60,10,3,539072,3415,624447,539072,578047,3415,0,624447,-1.06E+06,0.0812254,2.72E+07,3.60E+12,2.72E-02,3.60E+03
60,10,4,498400,2537,528844,498400,589626,2537,0,528844,-739339,0.0866977,5.17E+07,3.60E+12,5.17E-02,3.60E+03
60,10,5,647346,3214,656988,647346,675922,3214,0,656988,-724545,0.0273551,6.19E+07,3.60E+12,6.19E-02,3.60E+03
60,12,1,701200,3725,734725,701200,763523,3725,0,734725,-947430,0.0476774,8.97E+07,3.60E+12,8.97E-02,3.60E+03
60,12,2,740984,2536,763808,740984,741313,2536,0,763808,-912382,0.0512055,7.20E+07,3.60E+12,7.20E-02,3.60E+03
60,12,3,567454,2698,632206,567454,623947,2698,0,632206,-1.02E+06,0.11352,6.42E+07,3.60E+12,6.42E-02,3.60E+03
60,12,4,656309,3935,679919,656347,663584,3935,0,679919,-798122,0.0289655,7.47E+07,3.60E+12,7.47E-02,3.60E+03
60,12,5,779236,4032,924388,779303,786011,4032,0,924388,-1.59E+06,0.127858,6.30E+07,3.60E+12,6.30E-02,3.60E+03
60,14,1,717343,5407,982286,717343,736000,5407,0,982286,-2.17E+06,0.105837,9.56E+07,3.60E+12,9.56E-02,3.60E+03
60,14,2,803198,4597,849168,803198,904702,4597,0,849168,-1.17E+06,0.0362353,1.23E+08,3.60E+12,1.23E-01,3.60E+03
60,14,3,913656,5625,919281,913727,923880,5625,0,919281,-953504,0.00403774,1.10E+08,3.60E+12,1.10E-01,3.60E+03
60,14,4,864431,3453,1.06E+06,864431,904151,3453,0,1.06E+06,-2.55E+06,0.123174,1.00E+08,3.60E+12,1.00E-01,3.60E+03
60,14,5,702068,3377,887803,702068,849242,3377,0,887803,-1.99E+06,0.163214,9.52E+07,3.60E+12,9.52E-02,3.60E+03
60,16,1,659606,2132,749150,659606,856920,2132,0,749224,-1.59E+06,0.264181,7.86E+07,3.60E+12,7.86E-02,3.60E+03
60,16,2,898343,3289,1.02E+06,898343,929552,3289,0,1.02E+06,-1.91E+06,0.146122,1.08E+09,3.60E+12,1.08E+00,3.60E+03
60,16,3,762739,4054,965439,762739,771201,4054,0,965439,-2.37E+06,0.060855,1.20E+08,3.60E+12,1.20E-01,3.60E+03
60,16,4,978620,4565,1.15E+06,978620,1.03E+06,4565,0,1.15E+06,-2.28E+06,0.0671913,3.10E+08,3.60E+12,3.10E-01,3.60E+03
60,16,5,913475,5685,1.19E+06,913475,951563,5685,0,1.19E+06,-2.66E+06,0.0702736,1.67E+08,3.60E+12,1.67E-01,3.60E+03
80,4,1,355656,1879,434574,355656,428236,1879,0,434574,621259,0,5.78E+06,5.44E+07,5.78E-03,5.44E-02
80,4,2,418869,2074,535013,418869,422421,2074,0,535013,720901,0,8.77E+06,7.14E+07,8.77E-03,7.14E-02
80,4,3,376253,1711,485757,376253,376743,1711,0,485757,639783,0,1.03E+07,5.29E+07,1.03E-02,5.29E-02
80,4,4,434326,1693,483423,434326,475312,1693,0,483423,594244,0,1.35E+07,2.55E+08,1.35E-02,2.55E-01
80,4,5,407387,627,431213,407387,456022,627,0,431213,502762,0,7.95E+06,6.39E+07,7.95E-03,6.39E-02
80,6,1,499699,4187,633683,499699,526588,4187,0,633683,957715,0,1.21E+07,3.29E+09,1.21E-02,3.29E+00
80,6,2,494670,3360,498030,496843,580900,2694,0,499537,587366,0,1.82E+07,1.95E+08,1.82E-02,1.95E-01
80,6,3,438431,2601,604895,438431,539079,2601,0,604895,1.01E+06,0,2.65E+07,5.23E+08,2.65E-02,5.23E-01
80,6,4,586669,2688,707629,586669,619492,2688,0,707629,1.05E+06,0,1.32E+07,3.87E+09,1.32E-02,3.87E+00
80,6,5,551890,4493,709145,551890,591622,4493,0,709145,1.11E+06,0,4.37E+07,2.49E+09,4.37E-02,2.49E+00
80,8,1,503964,1748,521444,510705,659956,1220,0,522905,703606,0,3.04E+07,4.65E+09,3.04E-02,4.65E+00
80,8,2,570790,1842,659206,570790,615023,1842,0,659206,1.00E+06,0,4.08E+07,2.82E+11,4.08E-02,2.82E+02
80,8,3,604274,3238,665796,604274,674580,3238,0,665796,914991,0,4.41E+07,7.68E+11,4.41E-02,7.68E+02
80,8,4,480743,2659,496697,485161,562536,2128,0,497929,615533,0,5.31E+07,4.57E+10,5.31E-02,4.57E+01
80,8,5,594721,3999,694696,594721,662625,3999,0,694696,1.11E+06,0,5.37E+07,7.12E+09,5.37E-02,7.12E+00
80,10,1,748298,2052,863210,748298,865000,2052,0,863210,-1.42E+06,0.367341,5.59E+07,3.60E+12,5.59E-02,3.60E+03
80,10,2,714434,5470,730844,720308,782797,4717,0,734459,-850246,0.0219748,1.33E+08,3.60E+12,1.33E-01,3.60E+03
80,10,3,801968,4407,1.02E+06,801968,807799,4407,0,1.02E+06,-1.96E+06,0.156022,6.18E+07,3.60E+12,6.18E-02,3.60E+03
80,10,4,781274,4224,950234,781274,841955,4224,0,950234,-1.70E+06,0.168478,6.48E+07,3.60E+12,6.48E-02,3.60E+03
80,10,5,823822,3969,887326,823822,849453,3969,0,887326,-1.24E+06,0.0857789,7.66E+07,3.60E+12,7.66E-02,3.60E+03
80,12,1,898269,4941,992148,898269,987991,4941,0,992148,-1.48E+06,0.0976252,1.03E+08,3.60E+12,1.03E-01,3.60E+03
80,12,2,723093,4879,976801,723093,798163,4879,0,976801,-2.39E+06,0.0934439,9.20E+07,3.60E+12,9.20E-02,3.60E+03
80,12,3,809157,3200,959557,809161,901540,3200,0,959557,-1.93E+06,0.265245,8.37E+07,3.60E+12,8.37E-02,3.60E+03
80,12,4,986835,6149,1.37E+06,986871,1.01E+06,6149,0,1.37E+06,-3.12E+06,0.13943,1.12E+08,3.60E+12,1.12E-01,3.60E+03
80,12,5,781339,2673,971122,781339,913029,2673,0,971122,-2.05E+06,0.4101,9.48E+07,3.60E+12,9.48E-02,3.60E+03
80,14,1,977896,4878,1.05E+06,977896,1.13E+06,4878,0,1.05E+06,-1.62E+06,0.070209,1.65E+08,3.60E+12,1.65E-01,3.60E+03
80,14,2,939302,5219,1.06E+06,939302,1.05E+06,5219,0,1.06E+06,-1.84E+06,0.0700033,1.50E+08,3.60E+12,1.50E-01,3.60E+03
80,14,3,944768,6464,990016,944768,953980,6464,0,990016,-1.20E+06,0.0248622,1.49E+08,3.60E+12,1.49E-01,3.60E+03
80,14,4,909736,5815,967886,916116,1.06E+06,5235,0,968466,-1.34E+06,0.03088,1.48E+08,3.60E+12,1.48E-01,3.60E+03
80,14,5,1.32E+06,6849,1.36E+06,1.32E+06,1.35E+06,6849,0,1.36E+06,-1.60E+06,0.0183773,1.65E+08,3.60E+12,1.65E-01,3.60E+03
80,16,1,1.24E+06,5991,1.44E+06,1.24E+06,1.28E+06,5991,0,1.44E+06,-2.84E+06,0.0913598,1.21E+09,3.60E+12,1.21E+00,3.60E+03
80,16,2,1.29E+06,6474,1.58E+06,1.29E+06,1.39E+06,6474,0,1.58E+06,-3.33E+06,0.0787898,2.05E+08,3.60E+12,2.05E-01,3.60E+03
80,16,3,1.22E+06,6777,1.27E+06,1.22E+06,1.41E+06,6442,0,1.27E+06,-1.70E+06,0.0144712,6.04E+08,3.60E+12,6.04E-01,3.60E+03
80,16,4,1.23E+06,3688,1.32E+06,1.23E+06,-1.24E+06,3688,0,1.32E+06,-2.11E+06,0.152967,2.56E+08,3.60E+12,2.56E-01,3.60E+03
80,16,5,1.14E+06,6999,1.40E+06,1.14E+06,1.27E+06,6999,0,1.40E+06,-2.86E+06,0.0605924,2.15E+08,3.60E+12,2.15E-01,3.60E+03
100,4,1,529395,3210,699525,529395,557986,3210,0,699525,961831,0,1.10E+07,5.39E+07,1.10E-02,5.39E-02
100,4,2,430550,2658,462446,435252,565125,2303,0,462888,615081,0,1.85E+07,6.33E+07,1.85E-02,6.33E-02
100,4,3,505378,5238,720136,505378,521695,5238,0,720136,1.04E+06,0,8.00E+06,5.07E+07,8.00E-03,5.07E-02
100,4,4,481599,4405,499219,483011,529092,4165,0,499671,558696,0,8.43E+06,7.24E+07,8.43E-03,7.24E-02
100,4,5,497432,2632,526384,497432,521822,2632,0,526384,595602,0,1.52E+07,8.34E+07,1.52E-02,8.34E-02
100,6,1,610922,2454,785156,610922,734699,2454,0,785156,1.22E+06,0,4.68E+07,7.75E+08,4.68E-02,7.75E-01
100,6,2,443809,1644,545737,443809,572901,1644,0,545737,850585,0,1.42E+07,3.44E+08,1.42E-02,3.44E-01
100,6,3,572759,2798,617527,574651,642010,2692,0,617723,828016,0,3.87E+07,4.59E+09,3.87E-02,4.59E+00
100,6,4,593714,2880,671474,593714,719850,2880,0,671474,943225,0,4.21E+07,4.34E+09,4.21E-02,4.34E+00
100,6,5,704316,2621,837987,704316,734487,2621,0,837987,1.23E+06,0,4.43E+07,7.02E+09,4.43E-02,7.02E+00
100,8,1,658301,4309,778953,658301,733680,4309,0,778953,1.27E+06,0,5.12E+07,2.53E+12,5.12E-02,2.53E+03
100,8,2,774107,3465,819152,774135,821010,3465,0,819152,-1.05E+06,0.0508692,5.66E+07,3.60E+12,5.66E-02,3.60E+03
100,8,3,767872,3360,788032,767974,813166,3343,0,788032,915185,0,5.90E+07,3.70E+11,5.90E-02,3.70E+02
100,8,4,837697,3837,853045,837697,898286,3837,0,853045,970394,0,7.02E+07,5.32E+11,7.02E-02,5.32E+02
100,8,5,716148,2717,851998,716148,893102,2717,0,851998,1.37E+06,0,2.96E+07,2.49E+10,2.96E-02,2.49E+01
100,10,1,1.09E+06,4624,1.10E+06,1.09E+06,1.12E+06,4419,0,1.10E+06,-1.17E+06,0.0262266,1.12E+08,3.60E+12,1.12E-01,3.60E+03
100,10,2,1.07E+06,4128,1.25E+06,1.07E+06,1.12E+06,4128,0,1.25E+06,-2.23E+06,0.231261,9.75E+07,3.60E+12,9.75E-02,3.60E+03
100,10,3,915076,5062,1.18E+06,915076,1.03E+06,5062,0,1.18E+06,-2.23E+06,0.275892,8.52E+07,3.60E+12,8.52E-02,3.60E+03
100,10,4,872723,4173,918626,872723,950123,4173,0,918626,-1.20E+06,0.094598,8.89E+07,3.60E+12,8.89E-02,3.60E+03
100,10,5,924087,5505,1.14E+06,924087,1.03E+06,5505,0,1.14E+06,-2.12E+06,0.163095,9.10E+07,3.60E+12,9.10E-02,3.60E+03
100,12,1,1.01E+06,6038,1.42E+06,1.01E+06,1.10E+06,6038,0,1.42E+06,-3.38E+06,0.164633,1.27E+08,3.60E+12,1.27E-01,3.60E+03
100,12,2,1.07E+06,5638,1.47E+06,1.07E+06,1.14E+06,5638,0,1.47E+06,-3.60E+06,0.209444,1.13E+08,3.60E+12,1.13E-01,3.60E+03
100,12,3,1.13E+06,6030,1.15E+06,1.14E+06,1.29E+06,4918,0,1.15E+06,-1.38E+06,0.0247293,2.45E+08,3.60E+12,2.45E-01,3.60E+03
100,12,4,900706,3714,974986,900706,1.14E+06,3714,0,974986,-1.62E+06,0.15037,1.22E+08,3.60E+12,1.22E-01,3.60E+03
100,12,5,1.19E+06,6376,1.24E+06,1.19E+06,1.32E+06,6376,0,1.24E+06,-1.61E+06,0.032063,1.43E+08,3.60E+12,1.43E-01,3.60E+03
100,14,1,1.43E+06,54058,1.43E+06,1.43E+06,1.54E+06,6064,0,1.43E+06,1.54E+06,0,1.50E+08,1.42E+08,1.50E-01,1.42E-01
100,14,2,1.36E+06,3441,1.43E+06,1.36E+06,1.37E+06,3441,0,1.43E+06,-1.99E+06,0.20114,1.89E+08,3.60E+12,1.89E-01,3.60E+03
100,14,3,1.67E+06,7316,1.76E+06,1.67E+06,1.69E+06,7316,0,1.76E+06,-2.34E+06,0.0414524,2.32E+08,3.60E+12,2.32E-01,3.60E+03
100,14,4,1.22E+06,6620,1.34E+06,1.22E+06,1.50E+06,6620,0,1.34E+06,-2.15E+06,0.088649,1.90E+08,3.60E+12,1.90E-01,3.60E+03
100,14,5,1.30E+06,5609,1.59E+06,1.30E+06,1.38E+06,5609,0,1.59E+06,-3.39E+06,0.14352,1.45E+08,3.60E+12,1.45E-01,3.60E+03
100,16,1,1.59E+06,7445,1.81E+06,1.59E+06,1.67E+06,7445,0,1.81E+06,-3.27E+06,0.0807508,2.85E+08,3.60E+12,2.85E-01,3.60E+03
100,16,2,1.53E+06,6324,1.74E+06,1.53E+06,1.61E+06,6324,0,1.74E+06,-1.95E+06,0.996489,7.94E+08,3.65E+12,7.94E-01,3.65E+03
100,16,3,1.99E+06,9598,2.65E+06,1.99E+06,1.99E+06,9598,0,2.65E+06,-6.56E+06,0.082294,9.31E+09,3.60E+12,9.31E+00,3.60E+03
100,16,4,1.84E+06,11480,2.34E+06,1.84E+06,1.92E+06,11480,0,2.34E+06,-4.85E+06,0.0706403,3.30E+08,3.60E+12,3.30E-01,3.60E+03
100,16,5,1.40E+06,7537,1.87E+06,1.40E+06,1.57E+06,7537,0,1.87E+06,-4.76E+06,0.0960851,2.93E+08,3.60E+12,2.93E-01,3.60E+03
