I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
40,12,1,0,0,0,480879,0,0,0,0,1.47359e+06,0.0396213,0,0
40,12,2,0,0,0,351253,0,0,0,0,1.25642e+06,0.0441337,0,0
40,12,3,0,0,0,470954,0,0,0,0,1.61388e+06,0.0377524,0,0
40,12,4,0,0,0,397535,0,0,0,0,1.5373e+06,0.0398945,0,0
40,12,5,0,0,0,548540,0,0,0,0,1.10057e+06,0.0243328,0,0
60,12,1,0,0,0,698882,0,0,0,0,1.00303e+06,0.0135408,0,0
60,12,2,0,0,0,740984,0,0,0,0,953272,0.0156629,0,0
60,12,3,0,0,0,564714,0,0,0,0,1.15586e+06,0.0342894,0,0
60,12,4,0,0,0,656309,0,0,0,0,815128,0.00945864,0,0
60,12,5,0,0,0,779236,0,0,0,0,1.76968e+06,0.02909,0,0
80,12,1,0,0,0,895222,0,0,0,0,1.64672e+06,0.0208481,0,0
80,12,2,0,0,0,718025,0,0,0,0,2.55404e+06,0.031945,0,0
80,12,3,0,0,0,807095,0,0,0,0,2.41736e+06,0.0440311,0,0
80,12,4,0,0,0,986835,0,0,0,0,3.45874e+06,0.0341841,0,0
80,12,5,0,0,0,767023,0,0,0,0,3.2064e+06,0.0341588,0,0
100,12,1,0,0,0,1.01198e+06,0,0,0,0,3.91332e+06,0.0407638,0,0
100,12,2,0,0,0,1.0703e+06,0,0,0,0,4.2268e+06,0.0461698,0,0
100,12,3,0,0,0,1.12812e+06,0,0,0,0,1.43845e+06,0.00420754,0,0
100,12,4,0,0,0,872126,0,0,0,0,1.99853e+06,0.0210254,0,0
100,12,5,0,0,0,1.18808e+06,0,0,0,0,1.68166e+06,0.00995939,0,0
20,14,1,0,0,0,297745,0,0,0,0,421756,0.013458,0,0
20,14,2,0,0,0,296747,0,0,0,0,644683,0.021623,0,0
20,14,3,0,0,0,265112,0,0,0,0,737472,0.0258248,0,0
20,14,4,0,0,0,240818,0,0,0,0,431108,0.0180001,0,0
20,14,5,0,0,0,278985,0,0,0,0,542145,0.0193707,0,0
40,14,1,0,0,0,552744,0,0,0,0,1.58824e+06,0.0204302,0,0
40,14,2,0,0,0,507883,0,0,0,0,2.02534e+06,0.0389501,0,0
40,14,3,0,0,0,559047,0,0,0,0,972140,0.020424,0,0
40,14,4,0,0,0,492559,0,0,0,0,889727,0.0137813,0,0
40,14,5,0,0,0,680367,0,0,0,0,2.0107e+06,0.0316388,0,0
60,14,1,0,0,0,717343,0,0,0,0,2.33032e+06,0.0338326,0,0
60,14,2,0,0,0,800312,0,0,0,0,1.2444e+06,0.0133857,0,0
